timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
418365332,22.59091711223484,113.97504522721309,27.035797,-0.0,0.0001393666,0.016997006,0.109214455,2.2951267,3.1085517,6.387979,0.0,2,0,0,0
418566147,22.59091700742545,113.97504546105934,27.033783,-0.0,-0.0013658088,0.036181603,0.11086929,2.2968187,3.1082356,6.3879733,0.0,2,0,0,0
418770914,22.590916826391403,113.9750455275234,27.027643,-0.0,-0.006078669,0.046485286,0.11279826,2.2968035,3.1084816,6.3879895,0.0,2,0,0,0
418971724,22.590916677615546,113.97504551966846,27.02586,-0.0,-0.009605864,0.051776435,0.11334421,2.2960892,3.108644,6.387994,0.0,2,0,0,0
419176526,22.59091655948549,113.97504554446003,27.015188,-0.0,-0.011197302,0.059993245,0.11727155,2.296172,3.1089733,6.3879633,0.0,2,0,0,0
420189315,22.59091591001126,113.9750454270428,26.962631,-0.0,-0.024493728,0.0904378,0.13023283,2.296452,3.1097686,6.388021,0.0,2,0,0,0
420595741,22.59091565372639,113.9750448020595,26.947317,-0.0,-0.028128576,0.069141045,0.12991272,2.292684,3.1118665,6.3880863,0.0,2,0,0,0
420800543,22.590915441906365,113.97504459366662,26.944508,-0.0,-0.03964875,0.07998991,0.1327519,2.2906575,3.11201,6.388107,0.0,2,0,0,0
421001315,22.590915197227247,113.97504436331484,26.940886,-0.0,-0.040127996,0.075066425,0.12858286,2.2915015,3.113956,6.38815,0.0,2,0,0,0
421202146,22.590915034760457,113.97504422611664,26.943964,-0.0,-0.050828278,0.0812256,0.1286162,2.293881,3.1152954,6.388162,0.0,2,0,0,0
421406945,22.590914883433328,113.9750439443214,26.941887,-0.0,-0.050913587,0.07717451,0.12608139,2.2914484,3.1167498,6.3881845,0.0,2,0,0,0
421607799,22.59091469182968,113.97504356362336,26.944927,-0.0,-0.056271046,0.06898294,0.124953195,2.2911525,3.1186364,6.3881707,0.0,2,0,0,0
421813340,22.59091449537302,113.97504323628195,26.95092,-0.0,-0.057853974,0.07351896,0.12162677,2.2944872,3.119215,6.388179,0.0,2,0,0,0
422014148,22.59091432793743,113.97504286615954,26.958527,-0.0,-0.051971585,0.10213266,0.09658372,2.287624,3.1199412,6.388196,0.0,2,0,0,0
422218974,22.5909141818179,113.97504244356735,26.95863,-0.0,-0.055469844,0.100119844,0.11075772,2.2818382,3.1222413,6.388181,0.0,2,0,0,0
422419739,22.590914052462406,113.97504195858721,26.949497,-0.0,-0.06450808,0.048739884,0.120408125,2.2678304,3.122991,6.3881965,0.0,2,0,0,0
422624518,22.590913843309142,113.97504122045547,26.933832,-0.0,-0.060621098,0.029944582,0.12445779,2.2464015,3.1251948,6.3882256,0.0,2,0,0,0
422825357,22.590913592783437,113.97504039919176,26.915577,-0.0,-0.061950687,0.009874541,0.12849335,2.2550488,3.1271694,6.388186,0.0,2,0,0,0
423030941,22.590913334657785,113.97503954182204,26.898254,-0.0,-0.07030479,-0.0053880336,0.13489543,2.2537546,3.1274264,6.388199,0.0,2,0,0,0
423231725,22.590913079769788,113.9750385434021,26.891863,-0.0,-0.07237118,-0.02443391,0.13929546,2.2511039,3.128461,6.3882103,0.0,2,0,0,0
423436524,22.59091280133365,113.97503749245605,26.891693,-0.0,-0.07900406,-0.04573514,0.13587059,2.2493927,3.1285098,6.388237,0.0,2,0,0,0
423637315,22.590912502938163,113.97503653435021,26.897612,-0.0,-0.08288984,-0.06172853,0.13340263,2.2471993,3.12998,6.3882475,0.0,2,0,0,0
423842127,22.590912215216253,113.97503558744502,26.89937,-0.0,-0.08714762,-0.07634212,0.13296212,2.2458887,3.1319342,6.388264,0.0,2,0,0,0
424042946,22.590911987750843,113.97503471982336,26.896877,-0.0,-0.09211229,-0.091164365,0.13546069,2.2450619,3.132869,6.388266,0.0,2,0,0,0
424243714,22.590911815657023,113.97503381712042,26.893103,-0.0,-0.08809237,-0.10120304,0.13564885,2.2342768,3.132011,6.3882627,0.0,2,0,0,0
424445315,22.590911605147,113.97503286868248,26.88103,-0.0,-0.09214935,-0.116030164,0.14200647,2.2284257,3.1322913,6.3882546,0.0,2,0,0,0
424650153,22.59091137704958,113.97503191071019,26.87641,-0.0,-0.09101856,-0.12182598,0.15010966,2.2443838,3.1317248,6.388269,0.0,2,0,0,0
424854953,22.590911083901332,113.97503097145828,26.876575,-0.0,-0.090679236,-0.13733858,0.14268686,2.2479982,3.133564,6.388269,0.0,2,0,0,0
425055732,22.590910724579775,113.9750298697343,26.87695,-0.0,-0.10036696,-0.1537253,0.14376526,2.2433357,3.135187,6.3882647,0.0,2,0,0,0
425260569,22.59091033359341,113.9750288298589,26.871487,-0.0,-0.10953736,-0.16611521,0.14770688,2.2442813,3.133862,6.38827,0.0,2,0,0,0
425461362,22.590909906486193,113.97502806747296,26.866547,-0.0,-0.10451174,-0.1703007,0.14687654,2.245382,3.1302412,6.3882384,0.0,2,0,0,0
425666928,22.590909450174568,113.97502721993614,26.855682,-0.0,-0.12523554,-0.17188141,0.14972296,2.2445984,3.1316285,6.3882003,0.0,2,0,0,0
425867718,22.590909011461044,113.97502636899821,26.843935,-0.0,-0.1384401,-0.17311087,0.15741059,2.2431693,3.1321201,6.3881965,0.0,2,0,0,0
426072521,22.59090860509632,113.9750256343399,26.83847,-0.0,-0.14260574,-0.17298657,0.15806654,2.2390916,3.1335871,6.3881965,0.0,2,0,0,0
426273332,22.590908201769842,113.97502477783766,26.837013,-0.0,-0.14848903,-0.17946513,0.15830891,2.2375422,3.1356149,6.388217,0.0,2,0,0,0
426478148,22.590908010790315,113.975024039157,26.836407,-0.0,-0.14655326,-0.18056117,0.15813696,2.2379804,3.130434,6.388182,0.0,2,0,0,0
426678983,22.590907811686613,113.9750233632794,26.837673,-0.0,-0.14463747,-0.1801163,0.15743464,2.2377477,3.1307456,6.3881755,0.0,2,0,0,0
426884516,22.590907544478263,113.97502259203725,26.841852,-0.0,-0.14435649,-0.18362282,0.15681325,2.23744,3.1317713,6.388194,0.0,2,0,0,0
427085339,22.590907301193283,113.9750219304676,26.851263,-0.0,-0.1435723,-0.18334162,0.15496574,2.2368298,3.1308858,6.388187,0.0,2,0,0,0
427290125,22.590907013015162,113.97502129364945,26.861769,-0.0,-0.1442905,-0.18243746,0.15235499,2.2363384,3.131326,6.3881903,0.0,2,0,0,0
427490956,22.590906703145752,113.97502069057957,26.867296,-0.0,-0.14551412,-0.18160123,0.15223472,2.236139,3.128731,6.3881745,0.0,2,0,0,0
427695732,22.590906386514746,113.97501997114651,26.865786,-0.0,-0.14597352,-0.18506764,0.15462409,2.2356706,3.128007,6.3881307,0.0,2,0,0,0
427896548,22.590906066841193,113.97501926501813,26.863165,-0.0,-0.1459141,-0.18631855,0.15722178,2.2355132,3.1260834,6.3881106,0.0,2,0,0,0
428097314,22.590905775490793,113.97501861502073,26.862717,-0.0,-0.14522061,-0.1873253,0.1583905,2.235539,3.124497,6.3881044,0.0,2,0,0,0
428299002,22.590905493604676,113.9750180367372,26.857346,-0.0,-0.14337493,-0.18500835,0.16137943,2.2356367,3.1228628,6.388098,0.0,2,0,0,0
428499739,22.5909051418997,113.97501754486562,26.851442,-0.0,-0.14561105,-0.17867717,0.16420469,2.2354972,3.121448,6.3880925,0.0,2,0,0,0
428704547,22.590904788945757,113.97501705741347,26.852837,-0.0,-0.14645223,-0.17300893,0.1642052,2.2353873,3.1208205,6.3881006,0.0,2,0,0,0
428905314,22.59090444403346,113.97501668100169,26.86009,-0.0,-0.14709908,-0.1641959,0.16280356,2.235315,3.120568,6.3880496,0.0,2,0,0,0
429110125,22.590904090606745,113.97501629997774,26.864502,-0.0,-0.14768617,-0.1553788,0.16319486,2.2355478,3.1208198,6.3880568,0.0,2,0,0,0
429310932,22.5909038232312,113.97501595182418,26.872246,-0.0,-0.14371619,-0.14731573,0.16339287,2.2360592,3.1205413,6.3880615,0.0,2,0,0,0
429516546,22.59090358217833,113.97501572624837,26.878326,-0.0,-0.13955805,-0.13526213,0.16341825,2.2366693,3.111607,6.388025,0.0,2,0,0,0
