timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10640552,0.3649985,-0.10171904,-0.022074535,0.95756924,0.08897023,-0.03466387,-0.27192625,0.98082376,0.003101621,0.00893199,-0.19466755,1
10644549,0.36745578,-0.10654999,-0.025018435,0.95749795,0.0896263,-0.035043452,-0.27191323,0.98082376,0.003101621,0.00893199,-0.19466755,1
10676518,0.35329822,-0.17466749,-0.08012538,0.9567279,0.09474832,-0.038609814,-0.2724039,0.98082376,0.003101621,0.00893199,-0.19466755,1
10708518,0.32269853,-0.2681205,-0.1019519,0.95574194,0.09870182,-0.04318597,-0.27377084,0.98082376,0.003101621,0.00893199,-0.19466755,1
10741331,0.4194523,-0.30512476,-0.12242846,0.95444256,0.10348813,-0.04927559,-0.27550253,0.98082376,0.003101621,0.00893199,-0.19466755,1
10773321,0.5030744,-0.3226728,-0.09817919,0.95294803,0.10947329,-0.05573086,-0.2771276,0.98082376,0.003101621,0.00893199,-0.19466755,1
10801331,0.44474295,-0.38420546,-0.13098928,0.951549,0.114610784,-0.062007047,-0.2785211,0.98082376,0.003101621,0.00893199,-0.19466755,1
10833452,0.51515347,-0.4955564,-0.1309245,0.9496627,0.11998654,-0.070375204,-0.2806979,0.98082376,0.003101621,0.00893199,-0.19466755,1
10866157,0.38809896,-0.64685893,-0.15918398,0.947399,0.12469717,-0.081141174,-0.283376,0.98082376,0.003101621,0.00893199,-0.19466755,1
10898162,0.29470792,-0.727298,-0.15765297,0.9451136,0.12673509,-0.09290608,-0.2864733,0.98082376,0.003101621,0.00893199,-0.19466755,1
10930125,0.36097163,-0.6892738,-0.12831691,0.9427043,0.12884629,-0.10494553,-0.28929853,0.98082376,0.003101621,0.00893199,-0.19466755,1
10958138,0.30037528,-0.64834964,-0.10724202,0.94069546,0.13053188,-0.114843346,-0.29131493,0.98082376,0.003101621,0.00893199,-0.19466755,1
10990917,0.4752514,-0.6131415,-0.026219048,0.93839985,0.1336755,-0.12616709,-0.2926065,0.98082376,0.003101621,0.00893199,-0.19466755,1
11022914,0.4176606,-0.59385884,-0.05728069,0.93595845,0.13773201,-0.1371639,-0.29359454,0.98082376,0.003101621,0.00893199,-0.19466755,1
11054956,0.27243507,-0.60500914,-0.060294878,0.9336479,0.13964885,-0.1474537,-0.2950548,0.98082376,0.003101621,0.00893199,-0.19466755,1
11087741,0.32836202,-0.5674257,-0.07096195,0.93116957,0.14138469,-0.15776986,-0.29671913,0.98082376,0.003101621,0.00893199,-0.19466755,1
11119739,0.25266623,-0.47265333,-0.054514527,0.92887324,0.14368622,-0.16690147,-0.29781327,0.98082376,0.003101621,0.00893199,-0.19466755,1
11147729,0.31390184,-0.42139798,-0.04226479,0.92707944,0.14534616,-0.17366181,-0.29873064,0.98082376,0.003101621,0.00893199,-0.19466755,1
11179721,0.41603374,-0.42275277,-0.005179405,0.9249311,0.14917319,-0.18191348,-0.29859227,0.98082376,0.003101621,0.00893199,-0.19466755,1
11212543,0.33847496,-0.39423144,0.026376795,0.9229065,0.15276256,-0.19002384,-0.29799017,0.98082376,0.003101621,0.00893199,-0.19466755,1
11244516,0.39795074,-0.40981692,0.08244446,0.9211798,0.15572058,-0.19791672,-0.29666138,0.98082376,0.003101621,0.00893199,-0.19466755,1
11276516,0.4427648,-0.40306425,0.12721747,0.91934377,0.1599032,-0.20640598,-0.29433775,0.98082376,0.003101621,0.00893199,-0.19466755,1
11308537,0.40853631,-0.45102572,0.18331736,0.9176581,0.16348268,-0.21525119,-0.29128006,0.98082376,0.003101621,0.00893199,-0.19466755,1
11337340,0.40636992,-0.5302335,0.24290204,0.91616154,0.16594793,-0.22412105,-0.28788742,0.98082376,0.003101621,0.00893199,-0.19466755,1
11369332,0.5328425,-0.6351604,0.35041663,0.9142819,0.16878872,-0.23589195,-0.2827613,0.98082376,0.003101621,0.00893199,-0.19466755,1
11401339,0.4741928,-0.7099887,0.4483992,0.9121946,0.1717431,-0.24953839,-0.2759275,0.98082376,0.003101621,0.00893199,-0.19466755,1
11434146,0.42198667,-0.7524492,0.5247277,0.9102539,0.17260109,-0.2640273,-0.26820955,0.98082376,0.003101621,0.00893199,-0.19466755,1
11466164,0.43186283,-0.847641,0.59106636,0.908159,0.17296273,-0.27924055,-0.2595302,0.98082376,0.003101621,0.00893199,-0.19466755,1
11494125,0.32158977,-0.9243403,0.6385972,0.90611106,0.1717976,-0.29348615,-0.25162318,0.98082376,0.003101621,0.00893199,-0.19466755,1
11526332,0.37484244,-0.9853705,0.70199364,0.90346444,0.16955517,-0.31072873,-0.24176577,0.98082376,0.003101621,0.00893199,-0.19466755,1
11558121,0.3642983,-0.9788615,0.748679,0.90049714,0.16727158,-0.32826564,-0.23101264,0.98082376,0.003101621,0.00893199,-0.19466755,1
11590914,0.47701165,-0.93875694,0.79362655,0.897276,0.16561532,-0.3459618,-0.21858141,0.98082376,0.003101621,0.00893199,-0.19466755,1
11622932,0.51580805,-0.9738816,0.81245506,0.89362323,0.16505383,-0.3634044,-0.20526107,0.98082376,0.003101621,0.00893199,-0.19466755,1
11654939,0.43456554,-1.019171,0.8001409,0.8893645,0.16370095,-0.38120082,-0.19214289,0.98082376,0.003101621,0.00893199,-0.19466755,1
11683743,0.4954585,-1.0333546,0.7893439,0.88501775,0.16215551,-0.39726803,-0.18063058,0.98082376,0.003101621,0.00893199,-0.19466755,1
11715714,0.6022105,-1.1025194,0.7775361,0.87908673,0.16211826,-0.4159096,-0.16716334,0.98082376,0.003101621,0.00893199,-0.19466755,1
11747717,0.5305901,-1.1437999,0.7773138,0.8722039,0.16213095,-0.4351631,-0.1536459,0.98082376,0.003101621,0.00893199,-0.19466755,1
11779732,0.4639174,-1.1464536,0.7391199,0.8649022,0.16092606,-0.45402724,-0.14108987,0.98082376,0.003101621,0.00893199,-0.19466755,1
11812521,0.45149386,-1.1728563,0.7359527,0.8566606,0.15965015,-0.4733878,-0.12864047,0.98082376,0.003101621,0.00893199,-0.19466755,1
